Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	556.15	588.95	259.5	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
1	Town02	820.6	1658.27	704.05	40.85	83.366	0.49	0	0	0	2	0	0	0	1	0
2	Town03	1870.89	1081.99	479.5	32.0	100.0	0.32	1	0	0	0	2	0	0	0	0
3	Town03	2303.38	2201.82	897.95	6.774	100.0	0.068	0	3	0	2	2	0	0	0	0
4	Town04	2058.96	1747.81	709.0	31.36	100.0	0.314	0	0	0	2	2	0	0	0	0
5	Town03	1128.32	852.75	360.6	37.633	53.762	0.7	0	0	0	1	0	0	0	0	1
6	Town03	960.52	689.97	294.1	48.0	100.0	0.48	0	1	0	0	1	0	0	0	0
7	Town03	1205.85	1184.21	503.35	35.84	100.0	0.358	0	0	0	1	3	0	0	0	0
8	Town03	1556.54	1101.11	447.85	6.378	56.491	0.113	0	2	0	2	2	0	0	0	1
9	Town03	1549.86	1284.79	541.4	32.348	92.424	0.35	1	0	0	1	0	0	1	0	0
10	Town02	972.5	1571.44	672.5	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
11	Town02	872.1	1590.44	667.95	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
12	Town02	820.6	1702.8	704.05	27.985	57.113	0.49	0	0	0	2	0	0	0	1	0
13	Town04	2069.44	2067.11	774.6	39.2	100.0	0.392	0	0	0	2	1	0	0	0	0
14	Town04	2440.36	3372.74	1207.3	48.0	100.0	0.48	0	1	0	0	1	0	0	0	0
15	Town04	2288.15	1702.87	728.65	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
16	Town05	1071.03	5.59	0.05	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0
17	Town05	862.43	5.76	0.05	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0
18	Town05	1018.15	3.24	0.05	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0
19	Town05	1651.12	6.42	0.05	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0
20	Town05	1247.52	1035.64	402.45	53.332	53.332	1.0	0	0	0	0	0	0	0	0	1
21	Town05	531.08	6.28	0.05	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0
22	Town05	991.76	3.34	0.05	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0
23	Town05	1271.91	7.53	0.05	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0
24	Town05	2101.2	4.39	0.05	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0
25	Town05	1554.58	3.83	0.05	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					28.45	57.557	0.675	0.097	0.389	0.0	0.826	0.68	0.0	0.049	0.097	0.146
